0.0,0.0.1,0.0.2,1.0
9.65645999321614,-6.239752434652838,-0.566423103184525,1.0
10.006889259332167,-6.462896832166677,-0.5662732792171794,1.0
10.298534849868386,-6.648531695921544,-0.5661468241310617,1.0
10.64760862839767,-6.870639146144615,-0.5660228433223387,1.0
10.996079622216824,-7.091082969020668,-0.5421296572152308,1.0
11.3470361619499,-7.304594632547381,-0.5379410986241797,1.0
11.698857646287031,-7.5152731188185715,-0.5373491491751332,1.0
12.049988334258678,-7.72482542856138,-0.5371607055741332,1.0
12.400561212278886,-7.933914428987083,-0.53698177565404,1.0
12.750188107667578,-8.142312365066683,-0.5368561620092956,1.0
13.09921694794328,-8.350323702433728,-0.5366884561858327,1.0
13.447296182173025,-8.557659549910836,-0.5365646791207291,1.0
13.794780005796426,-8.764613820389,-0.5363973416851141,1.0
14.083757266309687,-8.936635381352971,-0.5362849718243204,1.0
14.48726422754638,-9.176799523772866,-0.5361064095946371,1.0
14.832268467189744,-9.382033987543076,-0.5359828013646303,1.0
15.119262024232462,-9.552749711245385,-0.53584473564695,1.0
15.520163218060183,-9.791085318744775,-0.5356920389981104,1.0
15.863057574538123,-9.994905041146696,-0.5355248904642029,1.0
16.148219058770252,-10.16432122839054,-0.5354126481503066,1.0
16.54639725672241,-10.400848207048416,-0.5352342960993929,1.0
16.886846382005334,-10.60297460857801,-0.5351108500502592,1.0
17.226719175522998,-10.804733733845426,-0.5349438167450801,1.0
17.50962616987374,-10.972592578497183,-0.5348256499822307,1.0
17.92874737901944,-11.22136551414684,-0.5343998633903443,1.0
18.30482512522923,-11.444321539900043,-0.5341542091369912,1.0
18.68005576100717,-11.66654083121294,-0.5340175126293126,1.0
18.992188016590795,-11.85136165219748,-0.5338765232272448,1.0
19.428195865174857,-12.10938349047666,-0.5337220346159516,1.0
19.801100084266466,-12.33002322862064,-0.5335537221642244,1.0
20.17299304207797,-12.54995074954982,-0.5334291752670387,1.0
20.482342461706867,-12.73287772221325,-0.5332903245833892,1.0
20.85295749515787,-12.951914290966656,-0.5331479879793951,1.0
21.284043016866736,-13.206642729317146,-0.5329683923190573,1.0
21.59139115687323,-13.38816293784071,-0.5328554437335716,1.0
21.959213993598315,-13.605378336071244,-0.5327052322724427,1.0
22.40707658688281,-13.869856458537363,-0.5323147060014358,1.0
22.809387714109985,-14.107155041647882,-0.5320779811660784,1.0
23.143992887921936,-14.304382828456964,-0.5319549452111805,1.0
23.544972661324557,-14.540660992829942,-0.5317823676740406,1.0
24.01144717017993,-14.815406769066094,-0.5316148178214417,1.0
24.410537004951244,-15.050352114339494,-0.5314714187022485,1.0
24.742134185331988,-15.2455211489454,-0.5313614889313694,1.0
25.139505053081827,-15.479353873038011,-0.5311923351392106,1.0
25.601972638151462,-15.747490879752716,-0.4773561894360154,1.0
25.93867399605212,-15.920592236634878,-0.4123953391301586,1.0
26.35300772523935,-16.106371120692987,-0.4007669944106511,1.0
26.769635720781825,-16.28418826052098,-0.3995728812474616,1.0
27.185881487353623,-16.460198406663803,-0.3994071329345727,1.0
27.601238633910835,-16.63559984850165,-0.3993695092102696,1.0
28.015628664809565,-16.810584904861226,-0.3993428149054988,1.0
28.42906112543873,-16.98513821383734,-0.399345875224189,1.0
28.84152947526283,-17.159282473577708,-0.399354350011576,1.0
29.2527951506769,-17.329991163138452,-0.3571543429061281,1.0
29.66790282915659,-17.48731351119501,-0.3478238360047328,1.0
30.083979530417963,-17.639046082253245,-0.3469994473440882,1.0
30.499439649393388,-17.789454749059516,-0.3469061013475401,1.0
30.91280665834112,-17.934551236521312,-0.2837765049984336,1.0
31.39475649525038,-18.05799701576173,-0.1162412780535817,1.0
31.74658890303544,-18.1028167968478,-0.0570952880638705,1.0
32.17061435753479,-18.1319764531796,-0.0517326841531832,1.0
32.59400879464728,-18.154800978468277,-0.0508422761689526,1.0
33.0158327630934,-18.17582504924919,-0.027381146449439,1.0
33.430361578618744,-18.180801051065973,0.0849970282874763,1.0
33.83646906975551,-18.1403392320496,0.2060004049964536,1.0
34.23753697538521,-18.061065867838156,0.2297559502971076,1.0
34.63508780586527,-17.969956116596283,0.2315514125818685,1.0
35.09337694261892,-17.857574236301378,0.2972806577620464,1.0
35.40624117051077,-17.757795796103483,0.4112443610732349,1.0
35.76776696778109,-17.60021754286238,0.4862707812555245,1.0
36.11816467436444,-17.419499515572447,0.4959642684976309,1.0
36.46456561182995,-17.233197370421852,0.4969320317779176,1.0
36.80818522463922,-17.04620936818857,0.5269888834671944,1.0
37.14452524825969,-16.850021323239336,0.5536798052674807,1.0
37.47583785406579,-16.64688359969941,0.5551398817107976,1.0
37.80483847997697,-16.442779809344753,0.5728844227885287,1.0
38.12131119590893,-16.231292496154307,0.6678440715173245,1.0
38.42052807265211,-15.996284243506366,0.714655596872316,1.0
38.70929670613416,-15.749338849334723,0.7176394243232064,1.0
38.94764197233515,-15.54191366490443,0.7180624396574817,1.0
39.28009325948205,-15.251639317113844,0.7181289113642133,1.0
39.564304046689614,-15.00339771817346,0.7181345947596492,1.0
39.84786557483949,-14.755720887122248,0.7181345118726618,1.0
40.08432122779182,-14.549194850400536,0.7181473421192892,1.0
40.42798964177782,-14.24930042923056,0.7184012807732737,1.0
40.72456776848576,-13.99032636052434,0.7185393486192445,1.0
41.02061182110057,-13.731764997104246,0.7187087705453321,1.0
41.26672893709208,-13.516707917452564,0.7188212422975947,1.0
41.56114136310333,-13.259387212734104,0.7226770735426268,1.0
41.89797113493055,-12.95594217392792,0.762883566956535,1.0
42.179232702309385,-12.689301458850546,0.7645820005132327,1.0
42.412011379492384,-12.466402324878256,0.7648205270000072,1.0
42.736880479155445,-12.154768608973662,0.7648091564013872,1.0
43.01649189094999,-11.886572103115814,0.7648269889256454,1.0
43.26820978550673,-11.645454122495794,0.7651936851079423,1.0
43.58742911316573,-11.339387133145443,0.7655064507354803,1.0
43.90695478424871,-11.03265573907764,0.76567263054846,1.0
44.27854143779123,-10.67583688519822,0.7658570399420846,1.0
44.543370674619126,-10.42141501465732,0.7659707522544783,1.0
44.86028859465256,-10.116922518134652,0.7661214859882067,1.0
45.17664402500064,-9.812827962511186,0.7662640832113273,1.0
45.54457157596624,-9.45910193300764,0.7664440022562995,1.0
45.806797210867714,-9.20688670579749,0.7665571415184759,1.0
46.12059939432038,-8.905036781663917,0.7667076152713245,1.0
46.433847682068354,-8.603578216966131,0.7668500675292338,1.0
46.74610503525732,-8.303039777990305,0.7670004799279111,1.0
47.05781266997312,-8.002889397486223,0.7671428845821643,1.0
47.36853370807173,-7.703655914961373,0.7672932274443723,1.0
47.678709165450826,-7.404807237612698,0.7674355704687791,1.0
47.98790236745364,-7.106872279290984,0.7675858549835416,1.0
48.2965541112537,-6.809318835997377,0.7677281372688795,1.0
48.604227911768994,-6.512675946554278,0.7678783590057072,1.0
48.91136434220292,-6.216411330447044,0.7680205840942113,1.0
49.21752707297932,-5.921054129966666,0.7681707348162271,1.0
49.52529716166643,-5.624027632091518,0.7683412658372809,1.0
49.83946953231323,-5.320709301013768,0.7684955377095156,1.0
50.153160772608295,-5.017769614249366,0.7686548042808017,1.0
50.46589697311857,-4.715631854188668,0.7687781241061534,1.0
50.77805111753406,-4.41402026102366,0.7689461537906607,1.0
51.08924916956247,-4.113196588805826,0.7690706749056033,1.0
51.39986813073055,-3.812894544585076,0.7692388740999908,1.0
51.658094753264415,-3.5631356811062203,0.7693518877781897,1.0
52.01579715517613,-3.213819671226064,0.8142707093065621,1.0
52.30819822693992,-2.90325474068034,0.8461446157502182,1.0
52.54472258863415,-2.638766878671845,0.8478539568119994,1.0
52.87292518612812,-2.2674239085035537,0.8482654971414268,1.0
53.1489590231996,-1.9497350705198595,0.9088196018010692,1.0
53.362510932206014,-1.6750620519031536,0.976302934726364,1.0
53.63822619258497,-1.2736376489593866,0.9893583411121296,1.0
53.867651272052406,-0.9261904487564953,0.9902434855462974,1.0
54.09383038177544,-0.5791363314184536,1.0256793971221447,1.0
54.26791617726812,-0.2866804699538161,1.1100993660221206,1.0
54.4521154405385,0.0781683657425679,1.1374176691082176,1.0
54.65348471541743,0.509060824860001,1.1436071749813752,1.0
54.81696252678,0.8776265096068405,1.215648672592835,1.0
54.92960810197717,1.1882557375436764,1.3142053325130625,1.0
55.03433720196754,1.57191198607058,1.341068098583645,1.0
55.14159252094627,2.022146423187183,1.344954472738461,1.0
55.22524178674016,2.405043733541753,1.4185075557713889,1.0
55.27596693672006,2.7264585810138,1.4606874083218353,1.0
55.32185642102458,3.113814741631296,1.464660919765009,1.0
55.37051815237912,3.5651325324798155,1.4652305024020316,1.0
55.41148638351824,3.951052560287773,1.4672077920202071,1.0
55.44314942795083,4.270286773066064,1.5114877130933175,1.0
55.46691488294125,4.653544258061435,1.5303397893331463,1.0
55.48608515305306,5.100088428647582,1.5314541043105825,1.0
55.49874779527539,5.418360304442737,1.5315443947541536,1.0
